StreamId, Sequence, Length, Time, CmdAcceptCnt, CmdRejectCnt, DestTblLoadCnt, DestTblErrCnt, FilterTblLoadCnt, FilterTblErrCnt, AppEnableState, Spare8, FileWriteCnt, FileWriteErrCnt, FileUpdateCnt, FileUpdateErrCnt, DisabledPktCnt, IgnoredPktCnt, FilteredPktCnt, PassedPktCnt, FilterTblFilename
89d,c001,65,2c460f001200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89d,c002,65,2f460f000d00,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,/cf/ds_filter_tbl.tbl
89d,c003,65,32460f000600,0,0,1,0,1,0,1,0,4,0,0,0,0,0,13,1,/cf/ds_filter_tbl.tbl
89d,c004,65,35460f001300,0,0,1,0,1,0,1,0,5,0,0,0,0,0,20,2,/cf/ds_filter_tbl.tbl
89d,c005,65,38460f000600,0,0,1,0,1,0,1,0,6,0,0,0,0,0,24,3,/cf/ds_filter_tbl.tbl
89d,c006,65,3b460f000900,0,0,1,0,1,0,1,0,7,0,0,0,0,0,31,4,/cf/ds_filter_tbl.tbl
89d,c007,65,3e460f000d00,0,0,1,0,1,0,1,0,8,0,0,0,0,0,35,5,/cf/ds_filter_tbl.tbl
89d,c008,65,41460f001000,0,0,1,0,1,0,1,0,9,0,0,0,0,0,42,6,/cf/ds_filter_tbl.tbl
89d,c009,65,44460f000800,0,0,1,0,1,0,1,0,10,0,0,0,0,0,46,7,/cf/ds_filter_tbl.tbl
89d,c00a,65,47460f000a00,0,0,1,0,1,0,1,0,11,0,0,0,0,0,53,8,/cf/ds_filter_tbl.tbl
89d,c00b,65,4a460f000a00,0,0,1,0,1,0,1,0,12,0,0,0,0,0,57,9,/cf/ds_filter_tbl.tbl
89d,c00c,65,4d460f001b00,0,0,1,0,1,0,1,0,13,0,0,0,0,0,64,10,/cf/ds_filter_tbl.tbl
89d,c00d,65,50460f000800,0,0,1,0,1,0,1,0,14,0,0,0,0,0,68,11,/cf/ds_filter_tbl.tbl
89d,c00e,65,53460f000800,0,0,1,0,1,0,1,0,15,0,0,0,0,0,75,12,/cf/ds_filter_tbl.tbl
89d,c00f,65,56460f001000,0,0,1,0,1,0,1,0,16,0,0,0,0,0,79,13,/cf/ds_filter_tbl.tbl
89d,c010,65,59460f000700,0,0,1,0,1,0,1,0,17,0,0,0,0,0,86,14,/cf/ds_filter_tbl.tbl
89d,c011,65,5c460f000b00,0,0,1,0,1,0,1,0,18,0,0,0,0,0,91,15,/cf/ds_filter_tbl.tbl
89d,c012,65,5f460f000a00,0,0,1,0,1,0,1,0,19,0,0,0,0,0,97,16,/cf/ds_filter_tbl.tbl
89d,c013,65,62460f000800,0,0,1,0,1,0,1,0,20,0,0,0,0,0,101,17,/cf/ds_filter_tbl.tbl
89d,c014,65,65460f000c00,0,0,1,0,1,0,1,0,21,0,0,0,0,0,108,18,/cf/ds_filter_tbl.tbl
89d,c015,65,68460f000a00,0,0,1,0,1,0,1,0,22,0,0,0,0,0,113,19,/cf/ds_filter_tbl.tbl
89d,c016,65,6b460f000c00,0,0,1,0,1,0,1,0,23,0,0,0,0,0,119,20,/cf/ds_filter_tbl.tbl
89d,c017,65,6e460f000d00,0,0,1,0,1,0,1,0,24,0,0,0,0,0,123,21,/cf/ds_filter_tbl.tbl
89d,c018,65,71460f003800,0,0,1,0,1,0,1,0,25,0,0,0,0,0,130,22,/cf/ds_filter_tbl.tbl
89d,c019,65,74460f000a00,0,0,1,0,1,0,1,0,26,0,0,0,0,0,134,23,/cf/ds_filter_tbl.tbl
89d,c01a,65,77460f000b00,0,0,1,0,1,0,1,0,27,0,0,0,0,0,141,24,/cf/ds_filter_tbl.tbl
89d,c01b,65,7a460f001100,0,0,1,0,1,0,1,0,28,0,0,0,0,0,145,25,/cf/ds_filter_tbl.tbl
89d,c01c,65,7d460f000b00,0,0,1,0,1,0,1,0,29,0,0,0,0,0,152,26,/cf/ds_filter_tbl.tbl
89d,c01d,65,80460f000c00,0,0,1,0,1,0,1,0,30,0,0,0,0,0,156,27,/cf/ds_filter_tbl.tbl
89d,c01e,65,83460f001400,0,0,1,0,1,0,1,0,31,0,0,0,0,0,163,28,/cf/ds_filter_tbl.tbl
89d,c01f,65,86460f000b00,0,0,1,0,1,0,1,0,32,0,0,0,0,0,167,29,/cf/ds_filter_tbl.tbl
89d,c020,65,89460f002200,0,0,1,0,1,0,1,0,33,0,0,0,0,0,174,30,/cf/ds_filter_tbl.tbl
89d,c021,65,8c460f000d00,0,0,1,0,1,0,1,0,34,0,0,0,0,0,178,31,/cf/ds_filter_tbl.tbl
89d,c022,65,8f460f000900,0,0,1,0,1,0,1,0,35,0,0,0,0,0,185,32,/cf/ds_filter_tbl.tbl
89d,c023,65,92460f002200,0,0,1,0,1,0,1,0,36,0,0,0,0,0,189,33,/cf/ds_filter_tbl.tbl
89d,c024,65,95460f001000,0,0,1,0,1,0,1,0,37,0,0,0,0,0,196,34,/cf/ds_filter_tbl.tbl
89d,c025,65,98460f000c00,0,0,1,0,1,0,1,0,38,0,0,0,0,0,201,35,/cf/ds_filter_tbl.tbl
89d,c026,65,9b460f000a00,0,0,1,0,1,0,1,0,39,0,0,0,0,0,207,36,/cf/ds_filter_tbl.tbl
89d,c027,65,9e460f000700,0,0,1,0,1,0,1,0,40,0,0,0,0,0,211,37,/cf/ds_filter_tbl.tbl
89d,c028,65,a1460f001300,0,0,1,0,1,0,1,0,41,0,0,0,0,0,218,38,/cf/ds_filter_tbl.tbl
89d,c029,65,a4460f000900,0,0,1,0,1,0,1,0,42,0,0,0,0,0,223,39,/cf/ds_filter_tbl.tbl
89d,c02a,65,a7460f000700,0,0,1,0,1,0,1,0,43,0,0,0,0,0,229,40,/cf/ds_filter_tbl.tbl
89d,c02b,65,aa460f000b00,0,0,1,0,1,0,1,0,44,0,0,0,0,0,233,41,/cf/ds_filter_tbl.tbl
89d,c02c,65,ad460f001400,0,0,1,0,1,0,1,0,45,0,0,0,0,0,240,42,/cf/ds_filter_tbl.tbl
89d,c02d,65,b0460f000a00,0,0,1,0,1,0,1,0,46,0,0,0,0,0,244,43,/cf/ds_filter_tbl.tbl
89d,c02e,65,b3460f000d00,0,0,1,0,1,0,1,0,47,0,0,0,0,0,251,44,/cf/ds_filter_tbl.tbl
89d,c02f,65,b6460f000c00,0,0,1,0,1,0,1,0,48,0,0,0,0,0,255,45,/cf/ds_filter_tbl.tbl
89d,c030,65,b9460f001100,0,0,1,0,1,0,1,0,49,0,0,0,0,0,262,46,/cf/ds_filter_tbl.tbl
89d,c031,65,bc460f000800,0,0,1,0,1,0,1,0,50,0,0,0,0,0,266,47,/cf/ds_filter_tbl.tbl
89d,c032,65,bf460f000a00,0,0,1,0,1,0,1,0,51,0,0,0,0,0,273,48,/cf/ds_filter_tbl.tbl
89d,c033,65,c2460f000d00,0,0,1,0,1,0,1,0,52,0,0,0,0,0,277,49,/cf/ds_filter_tbl.tbl
89d,c034,65,c5460f001100,0,0,1,0,1,0,1,0,53,0,0,0,0,0,284,50,/cf/ds_filter_tbl.tbl
89d,c035,65,c8460f000e00,0,0,1,0,1,0,1,0,54,0,0,0,0,0,289,51,/cf/ds_filter_tbl.tbl
89d,c036,65,cb460f000c00,0,0,1,0,1,0,1,0,55,0,0,0,0,0,295,52,/cf/ds_filter_tbl.tbl
89d,c037,65,ce460f001300,0,0,1,0,1,0,1,0,56,0,0,0,0,0,299,53,/cf/ds_filter_tbl.tbl
89d,c038,65,d1460f001a00,0,0,1,0,1,0,1,0,57,0,0,0,0,0,306,54,/cf/ds_filter_tbl.tbl
89d,c039,65,d4460f001100,0,0,1,0,1,0,1,0,58,0,0,0,0,0,310,55,/cf/ds_filter_tbl.tbl
89d,c03a,65,d7460f000c00,0,0,1,0,1,0,1,0,59,0,0,0,0,0,317,56,/cf/ds_filter_tbl.tbl
89d,c03b,65,da460f000e00,0,0,1,0,1,0,1,0,60,0,0,0,0,0,321,57,/cf/ds_filter_tbl.tbl
89d,c03c,65,dd460f001300,0,0,1,0,1,0,1,0,61,0,0,0,0,0,328,58,/cf/ds_filter_tbl.tbl
89d,c03d,65,e0460f001100,0,0,1,0,1,0,1,0,62,0,0,0,0,0,333,59,/cf/ds_filter_tbl.tbl
89d,c03e,65,e3460f000d00,0,0,1,0,1,0,1,0,63,0,0,0,0,0,339,60,/cf/ds_filter_tbl.tbl
89d,c03f,65,e6460f000b00,0,0,1,0,1,0,1,0,64,0,0,0,0,0,343,61,/cf/ds_filter_tbl.tbl
89d,c040,65,e9460f000f00,0,0,1,0,1,0,1,0,65,0,0,0,0,0,350,62,/cf/ds_filter_tbl.tbl
89d,c041,65,ec460f000600,0,0,1,0,1,0,1,0,66,0,0,0,0,0,355,63,/cf/ds_filter_tbl.tbl
89d,c042,65,ef460f000800,0,0,1,0,1,0,1,0,67,0,0,0,0,0,361,64,/cf/ds_filter_tbl.tbl
89d,c043,65,f2460f000a00,0,0,1,0,1,0,1,0,68,0,0,0,0,0,365,65,/cf/ds_filter_tbl.tbl
89d,c044,65,f5460f000b00,0,0,1,0,1,0,1,0,69,0,0,0,0,0,372,66,/cf/ds_filter_tbl.tbl
89d,c045,65,f8460f000600,0,0,1,0,1,0,1,0,70,0,0,0,0,0,377,67,/cf/ds_filter_tbl.tbl
89d,c046,65,fb460f000600,0,0,1,0,1,0,1,0,71,0,0,0,0,0,383,68,/cf/ds_filter_tbl.tbl
89d,c047,65,fe460f000d00,0,0,1,0,1,0,1,0,72,0,0,0,0,0,387,69,/cf/ds_filter_tbl.tbl
89d,c048,65,1470f000e00,0,0,1,0,1,0,1,0,73,0,0,0,0,0,394,70,/cf/ds_filter_tbl.tbl
89d,c049,65,4470f001000,0,0,1,0,1,0,1,0,74,0,0,0,0,0,398,71,/cf/ds_filter_tbl.tbl
89d,c04a,65,7470f000d00,0,0,1,0,1,0,1,0,75,0,0,0,0,0,405,72,/cf/ds_filter_tbl.tbl
89d,c04b,65,a470f000200,0,0,1,0,1,0,1,0,76,0,0,0,0,0,409,73,/cf/ds_filter_tbl.tbl
89d,c04c,65,d470f001100,0,0,1,0,1,0,1,0,77,0,0,0,0,0,416,74,/cf/ds_filter_tbl.tbl
89d,c04d,65,10470f000700,0,0,1,0,1,0,1,0,78,0,0,0,0,0,420,75,/cf/ds_filter_tbl.tbl
89d,c04e,65,13470f000900,0,0,1,0,1,0,1,0,79,0,0,0,0,0,427,76,/cf/ds_filter_tbl.tbl
89d,c04f,65,16470f000a00,0,0,1,0,1,0,1,0,80,0,0,0,0,0,431,77,/cf/ds_filter_tbl.tbl
89d,c050,65,19470f000f00,0,0,1,0,1,0,1,0,81,0,0,0,0,0,438,78,/cf/ds_filter_tbl.tbl
89d,c051,65,1c470f000a00,0,0,1,0,1,0,1,0,82,0,0,0,0,0,443,79,/cf/ds_filter_tbl.tbl
89d,c052,65,1f470f000e00,0,0,1,0,1,0,1,0,83,0,0,0,0,0,449,80,/cf/ds_filter_tbl.tbl
89d,c053,65,22470f000c00,0,0,1,0,1,0,1,0,84,0,0,0,0,0,453,81,/cf/ds_filter_tbl.tbl
89d,c054,65,25470f002200,0,0,1,0,1,0,1,0,85,0,0,0,0,0,460,82,/cf/ds_filter_tbl.tbl
89d,c055,65,28470f000e00,0,0,1,0,1,0,1,0,86,0,0,0,0,0,464,83,/cf/ds_filter_tbl.tbl
89d,c056,65,2b470f000a00,0,0,1,0,1,0,1,0,87,0,0,0,0,0,471,84,/cf/ds_filter_tbl.tbl
89d,c057,65,2e470f000d00,0,0,1,0,1,0,1,0,88,0,0,0,0,0,475,85,/cf/ds_filter_tbl.tbl
89d,c058,65,31470f001300,0,0,1,0,1,0,1,0,89,0,0,0,0,0,482,86,/cf/ds_filter_tbl.tbl
89d,c059,65,34470f000c00,0,0,1,0,1,0,1,0,90,0,0,0,0,0,486,87,/cf/ds_filter_tbl.tbl
89d,c05a,65,37470f001100,0,0,1,0,1,0,1,0,91,0,0,0,0,0,493,88,/cf/ds_filter_tbl.tbl
89d,c05b,65,3a470f000c00,0,0,1,0,1,0,1,0,92,0,0,0,0,0,497,89,/cf/ds_filter_tbl.tbl
89d,c05c,65,3d470f001700,0,0,1,0,1,0,1,0,93,0,0,0,0,0,504,90,/cf/ds_filter_tbl.tbl
89d,c05d,65,40470f000c00,0,0,1,0,1,0,1,0,94,0,0,0,0,0,508,91,/cf/ds_filter_tbl.tbl
89d,c05e,65,43470f000b00,0,0,1,0,1,0,1,0,95,0,0,0,0,0,515,92,/cf/ds_filter_tbl.tbl
89d,c05f,65,46470f002700,0,0,1,0,1,0,1,0,96,0,0,0,0,0,519,93,/cf/ds_filter_tbl.tbl
89d,c060,65,49470f001a00,0,0,1,0,1,0,1,0,97,0,0,0,0,0,526,94,/cf/ds_filter_tbl.tbl
89d,c061,65,4c470f001300,0,0,1,0,1,0,1,0,98,0,0,0,0,0,530,95,/cf/ds_filter_tbl.tbl
89d,c062,65,4f470f001200,0,0,1,0,1,0,1,0,99,0,0,0,0,0,537,96,/cf/ds_filter_tbl.tbl
89d,c063,65,52470f000f00,0,0,1,0,1,0,1,0,100,0,0,0,0,0,541,97,/cf/ds_filter_tbl.tbl
89d,c064,65,55470f002400,0,0,1,0,1,0,1,0,101,0,0,0,0,0,548,98,/cf/ds_filter_tbl.tbl
89d,c065,65,58470f001100,0,0,1,0,1,0,1,0,102,0,0,0,0,0,552,99,/cf/ds_filter_tbl.tbl
89d,c066,65,5b470f001000,0,0,1,0,1,0,1,0,103,0,0,0,0,0,559,100,/cf/ds_filter_tbl.tbl
89d,c067,65,5e470f000a00,0,0,1,0,1,0,1,0,104,0,0,0,0,0,563,101,/cf/ds_filter_tbl.tbl
89d,c068,65,61470f001300,0,0,1,0,1,0,1,0,105,0,0,0,0,0,570,102,/cf/ds_filter_tbl.tbl
89d,c069,65,64470f000900,0,0,1,0,1,0,1,0,106,0,0,0,0,0,575,103,/cf/ds_filter_tbl.tbl
89d,c06a,65,67470f000f00,0,0,1,0,1,0,1,0,107,0,0,0,0,0,581,104,/cf/ds_filter_tbl.tbl
89d,c06b,65,6a470f000a00,0,0,1,0,1,0,1,0,108,0,0,0,0,0,585,105,/cf/ds_filter_tbl.tbl
89d,c06c,65,6d470f001000,0,0,1,0,1,0,1,0,109,0,0,0,0,0,592,106,/cf/ds_filter_tbl.tbl
